epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.7289,1.7671,4.79634,1.7922,0.32914,0.12843,0.01179,0.0054,1.85061,24.354,1.75607,0.00019,0.00019,0.08119
2,58.8289,0.78609,3.2149,1.09753,0.40387,0.2113,0.04459,0.02823,1.01256,8.13472,1.29441,0.000386139,0.000386139,0.0613861
3,87.5081,0.55029,2.63562,0.97409,0.45992,0.20385,0.15442,0.11862,0.81014,9.24518,1.10533,0.000578318,0.000578318,0.0415783
4,115.946,0.49799,2.42679,0.93691,0.25761,0.41618,0.17696,0.14731,0.52085,23.8178,0.87383,0.000766537,0.000766537,0.0217665
5,144.698,0.4429,2.24145,0.9113,0.81605,0.14704,0.24132,0.19417,0.73877,5.3334,1.01257,0.000950796,0.000950796,0.0019508
6,172.856,0.39548,2.10998,0.89187,0.41482,0.36252,0.19069,0.12584,0.86135,7.51019,1.19571,0.0009505,0.0009505,0.0009505
7,201.924,0.36385,1.98304,0.87947,0.61551,0.25579,0.30851,0.24086,0.7817,3.77142,1.07179,0.0009406,0.0009406,0.0009406
8,232.569,0.35427,1.86861,0.87019,0.33784,0.59162,0.48668,0.42505,0.55786,3.22071,0.91274,0.0009307,0.0009307,0.0009307
9,264.136,0.33094,1.87161,0.87313,0.52381,0.39889,0.46611,0.40282,0.63852,3.15521,0.95818,0.0009208,0.0009208,0.0009208
10,297.38,0.31605,1.66566,0.85515,0.62445,0.53362,0.58334,0.56638,0.39333,1.948,0.82304,0.0009109,0.0009109,0.0009109
11,332.538,0.30178,1.59382,0.85454,0.50078,0.30299,0.33124,0.25192,0.96768,3.09205,1.22422,0.000901,0.000901,0.000901
12,369.031,0.29202,1.46669,0.85019,0.3958,0.63936,0.63608,0.61992,0.31203,1.70844,0.78226,0.0008911,0.0008911,0.0008911
13,399.855,0.27005,1.40977,0.84966,0.75689,0.47709,0.60164,0.59203,0.30578,1.93097,0.77402,0.0008812,0.0008812,0.0008812
14,431.849,0.29056,1.38103,0.84856,0.45558,0.57434,0.58102,0.52211,0.54905,2.20977,0.91633,0.0008713,0.0008713,0.0008713
15,464.296,0.27054,1.28533,0.84916,0.499,0.76383,0.74286,0.73453,0.2361,1.35645,0.75722,0.0008614,0.0008614,0.0008614
16,497.337,0.26855,1.25173,0.84382,0.64049,0.68916,0.76772,0.75893,0.23852,1.21986,0.75717,0.0008515,0.0008515,0.0008515
17,530.841,0.25127,1.24817,0.84223,0.50929,0.76379,0.70723,0.6924,0.25634,1.49415,0.77409,0.0008416,0.0008416,0.0008416
18,562.646,0.24526,1.14494,0.8351,0.6108,0.40437,0.47966,0.29959,1.16939,2.63885,1.37096,0.0008317,0.0008317,0.0008317
19,595.816,0.24489,1.13516,0.84369,0.63668,0.46385,0.52703,0.38971,0.92226,2.53034,1.20661,0.0008218,0.0008218,0.0008218
20,629.364,0.24223,1.06609,0.83421,0.58608,0.59792,0.69966,0.58466,0.58285,1.83492,0.94729,0.0008119,0.0008119,0.0008119
21,662.262,0.22529,0.98243,0.83093,0.70199,0.71917,0.81584,0.78644,0.32387,1.40337,0.79566,0.000802,0.000802,0.000802
22,694.297,0.23777,0.98902,0.83581,0.60608,0.72706,0.79363,0.69625,0.49854,1.37634,0.88761,0.0007921,0.0007921,0.0007921
23,726.022,0.22555,0.97096,0.8338,0.71529,0.64359,0.77134,0.76227,0.27152,1.42911,0.78598,0.0007822,0.0007822,0.0007822
24,758.255,0.21034,0.91495,0.82874,0.66085,0.79235,0.83948,0.83137,0.22944,1.14764,0.76591,0.0007723,0.0007723,0.0007723
25,792.36,0.21106,0.9145,0.82305,0.64699,0.78691,0.8271,0.82309,0.17709,1.07296,0.74682,0.0007624,0.0007624,0.0007624
26,832.628,0.21374,0.89703,0.83386,0.81898,0.73265,0.83344,0.8311,0.17479,0.93331,0.74454,0.0007525,0.0007525,0.0007525
27,875.147,0.208,0.83145,0.82217,0.62458,0.7187,0.72278,0.71626,0.24453,1.36219,0.77471,0.0007426,0.0007426,0.0007426
28,915.739,0.21484,0.85947,0.82521,0.73498,0.81826,0.89989,0.89908,0.15454,0.81137,0.73832,0.0007327,0.0007327,0.0007327
29,958.887,0.20525,0.84768,0.82776,0.74267,0.7597,0.85491,0.85297,0.19035,1.13124,0.74688,0.0007228,0.0007228,0.0007228
30,999.201,0.20618,0.75669,0.82527,0.74063,0.79447,0.87411,0.85978,0.23031,1.04991,0.75525,0.0007129,0.0007129,0.0007129
31,1040.73,0.21325,0.83095,0.8315,0.64034,0.74778,0.73455,0.73237,0.16619,1.09271,0.73447,0.000703,0.000703,0.000703
32,1089.99,0.21871,0.75561,0.83072,0.76532,0.74495,0.82086,0.77869,0.3139,1.29036,0.79763,0.0006931,0.0006931,0.0006931
33,1125.14,0.19679,0.75836,0.83031,0.74624,0.84547,0.90104,0.84727,0.38479,1.06917,0.82908,0.0006832,0.0006832,0.0006832
34,1160.38,0.19915,0.72551,0.82468,0.82802,0.77892,0.89179,0.8893,0.17782,0.90463,0.7463,0.0006733,0.0006733,0.0006733
35,1195.29,0.19701,0.73753,0.82675,0.76578,0.76015,0.84212,0.77501,0.36325,1.27077,0.84245,0.0006634,0.0006634,0.0006634
36,1232.82,0.18698,0.71182,0.82792,0.90438,0.83862,0.92911,0.92911,0.15826,0.56271,0.73157,0.0006535,0.0006535,0.0006535
37,1274.86,0.18642,0.68698,0.82148,0.81506,0.83903,0.9196,0.91838,0.16692,0.76363,0.73857,0.0006436,0.0006436,0.0006436
38,1318.47,0.17686,0.64911,0.80659,0.71136,0.88076,0.88512,0.88154,0.17235,0.8533,0.73873,0.0006337,0.0006337,0.0006337
39,1353.9,0.18479,0.66648,0.81978,0.75527,0.72234,0.83052,0.82542,0.19038,1.1125,0.75313,0.0006238,0.0006238,0.0006238
40,1390.55,0.19178,0.67296,0.83442,0.77877,0.78146,0.87052,0.86903,0.1891,0.86925,0.74731,0.0006139,0.0006139,0.0006139
41,1426.75,0.18158,0.64111,0.81861,0.8363,0.73094,0.86036,0.86036,0.16581,0.84539,0.73572,0.000604,0.000604,0.000604
42,1467.56,0.17503,0.63212,0.81699,0.76177,0.7567,0.85333,0.79881,0.3055,1.08983,0.80742,0.0005941,0.0005941,0.0005941
43,1505.1,0.17526,0.60023,0.8228,0.79108,0.74747,0.85457,0.83131,0.25535,0.90554,0.77143,0.0005842,0.0005842,0.0005842
44,1543.63,0.17421,0.59836,0.81616,0.76149,0.84042,0.90927,0.90777,0.17286,0.76928,0.73951,0.0005743,0.0005743,0.0005743
45,1584.48,0.1737,0.61182,0.82258,0.76761,0.79397,0.87484,0.8618,0.19631,0.90011,0.74956,0.0005644,0.0005644,0.0005644
46,1624.23,0.17237,0.61686,0.82427,0.687,0.72871,0.82857,0.82857,0.15565,1.04419,0.73415,0.0005545,0.0005545,0.0005545
47,1662.41,0.18211,0.61187,0.8244,0.83771,0.80506,0.92388,0.92388,0.15148,0.59994,0.73512,0.0005446,0.0005446,0.0005446
48,1699.23,0.17243,0.58248,0.82575,0.75431,0.8832,0.9545,0.9545,0.12321,0.64792,0.72978,0.0005347,0.0005347,0.0005347
49,1737.2,0.16859,0.55544,0.81988,0.8349,0.85355,0.91848,0.91778,0.1692,0.66039,0.73934,0.0005248,0.0005248,0.0005248
50,1781.7,0.15601,0.55145,0.81493,0.91347,0.82301,0.93565,0.93565,0.11934,0.48797,0.72791,0.0005149,0.0005149,0.0005149
51,1822.52,0.15376,0.54491,0.82143,0.7455,0.82366,0.87296,0.87296,0.12018,0.7673,0.7289,0.000505,0.000505,0.000505
52,1862.26,0.15883,0.52764,0.82106,0.77723,0.8519,0.9072,0.89842,0.16528,0.70801,0.73814,0.0004951,0.0004951,0.0004951
53,1902.15,0.15829,0.52688,0.81759,0.87547,0.86266,0.9181,0.86701,0.25906,0.83212,0.78446,0.0004852,0.0004852,0.0004852
54,1940.6,0.15728,0.51431,0.82195,0.89134,0.8531,0.93258,0.93258,0.12157,0.44856,0.72657,0.0004753,0.0004753,0.0004753
55,1978.64,0.16106,0.51528,0.82063,0.88845,0.81892,0.91236,0.91236,0.12058,0.52123,0.73117,0.0004654,0.0004654,0.0004654
56,2014.55,0.15229,0.54464,0.82698,0.7798,0.8556,0.90917,0.90917,0.11061,0.63422,0.72931,0.0004555,0.0004555,0.0004555
57,2051.04,0.15374,0.50326,0.81785,0.7737,0.91741,0.93552,0.93552,0.14394,0.59476,0.73267,0.0004456,0.0004456,0.0004456
58,2088.97,0.14331,0.48797,0.81827,0.93397,0.87874,0.9843,0.9843,0.11878,0.44872,0.72732,0.0004357,0.0004357,0.0004357
59,2130.82,0.15013,0.47898,0.81938,0.92737,0.85055,0.97104,0.97104,0.10808,0.45536,0.72499,0.0004258,0.0004258,0.0004258
60,2167.59,0.15042,0.47575,0.81716,0.95234,0.84717,0.95405,0.95219,0.10743,0.42236,0.72588,0.0004159,0.0004159,0.0004159
61,2203.85,0.15,0.45537,0.81371,0.85482,0.87376,0.93964,0.9351,0.1315,0.47546,0.73883,0.000406,0.000406,0.000406
62,2239.87,0.14645,0.46367,0.82251,0.84511,0.8212,0.89948,0.89948,0.11298,0.49659,0.72666,0.0003961,0.0003961,0.0003961
63,2273.12,0.14844,0.46558,0.81761,0.86204,0.8108,0.8938,0.8938,0.11742,0.53047,0.7259,0.0003862,0.0003862,0.0003862
64,2309.95,0.15259,0.47978,0.81143,0.92447,0.82001,0.95358,0.95358,0.10294,0.46804,0.72507,0.0003763,0.0003763,0.0003763
65,2350.88,0.14518,0.48734,0.82313,0.92751,0.86391,0.96164,0.9597,0.13227,0.43078,0.73458,0.0003664,0.0003664,0.0003664
66,2388.66,0.1494,0.44808,0.81295,0.88875,0.87782,0.97091,0.97091,0.10587,0.48442,0.724,0.0003565,0.0003565,0.0003565
67,2424.09,0.13324,0.45278,0.81163,0.91602,0.85601,0.96075,0.96075,0.10749,0.56483,0.72557,0.0003466,0.0003466,0.0003466
68,2460.74,0.13641,0.412,0.81615,0.88354,0.85261,0.9503,0.9487,0.14733,0.53979,0.74108,0.0003367,0.0003367,0.0003367
69,2492.64,0.13616,0.40883,0.82023,0.9101,0.81506,0.96081,0.9592,0.14383,0.49902,0.73518,0.0003268,0.0003268,0.0003268
