epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.0338,1.4644,3.84255,1.57143,0.36723,0.18047,0.03747,0.02188,1.64213,22.522,1.55186,0.000325926,0.000325926,0.0677333
2,147.568,0.6348,2.42127,1.00952,0.4862,0.35389,0.30178,0.24226,0.636,3.81739,0.83702,0.000654908,0.000654908,0.034729
3,233.044,0.51987,1.88426,0.94831,0.43904,0.38763,0.37596,0.30531,0.65528,3.02231,0.86914,0.00097949,0.00097949,0.00172023
4,324.615,0.47766,1.60346,0.93613,0.61965,0.43168,0.48182,0.43125,0.46732,2.5967,0.76588,0.0009802,0.0009802,0.0009802
5,417.489,0.44737,1.41709,0.92033,0.5741,0.54373,0.61274,0.54481,0.48008,1.91654,0.75337,0.0009736,0.0009736,0.0009736
6,511.424,0.42021,1.25268,0.90122,0.75418,0.69009,0.78385,0.74141,0.37633,1.36074,0.70683,0.000967,0.000967,0.000967
7,612.683,0.37367,1.09983,0.89169,0.7493,0.71421,0.78177,0.72857,0.38709,1.15177,0.71815,0.0009604,0.0009604,0.0009604
8,732.959,0.35452,1.0201,0.89338,0.69004,0.70219,0.7672,0.73589,0.31157,1.14606,0.68102,0.0009538,0.0009538,0.0009538
9,899.859,0.35254,0.95775,0.88703,0.74489,0.42341,0.48783,0.47082,0.30937,1.13519,0.68087,0.0009472,0.0009472,0.0009472
10,1042.79,0.33298,0.88676,0.87544,0.76685,0.56459,0.60032,0.57466,0.29082,0.96932,0.6816,0.0009406,0.0009406,0.0009406
11,1203.28,0.31781,0.84469,0.87743,0.86642,0.71241,0.79273,0.76596,0.28361,0.73533,0.67739,0.000934,0.000934,0.000934
12,1368.38,0.30615,0.78284,0.86805,0.81606,0.73006,0.83363,0.80964,0.25831,0.97022,0.66849,0.0009274,0.0009274,0.0009274
13,1536.46,0.29414,0.75063,0.8673,0.88327,0.678,0.7518,0.72787,0.25127,0.64072,0.65387,0.0009208,0.0009208,0.0009208
14,1716.2,0.2928,0.70173,0.85864,0.83675,0.51159,0.53962,0.52311,0.23195,0.58365,0.64626,0.0009142,0.0009142,0.0009142
15,1897.3,0.27959,0.6627,0.85994,0.89043,0.72722,0.78438,0.76374,0.23173,0.55959,0.65342,0.0009076,0.0009076,0.0009076
16,2086.21,0.27463,0.63811,0.85976,0.86741,0.74603,0.79272,0.77552,0.22473,0.56869,0.641,0.000901,0.000901,0.000901
17,2270.74,0.26421,0.6366,0.84593,0.88444,0.88705,0.92647,0.91373,0.20722,0.50052,0.63427,0.0008944,0.0008944,0.0008944
18,2450.44,0.25406,0.59562,0.85243,0.89362,0.92359,0.96529,0.94934,0.19303,0.49871,0.64577,0.0008878,0.0008878,0.0008878
