epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,227.366,0.35612,2.56286,0.91643,0.66512,0.6042,0.63332,0.61038,0.25347,1.68737,0.73008,0.00032963,0.00032963,0.0673667
2,432.271,0.30494,1.52444,0.87993,0.71009,0.71312,0.77415,0.75089,0.26574,1.23358,0.74485,0.000658587,0.000658587,0.0343623
3,637.359,0.28728,1.13323,0.87841,0.7109,0.80798,0.84235,0.80236,0.27784,0.94412,0.76965,0.000983145,0.000983145,0.00135352
4,831.391,0.2982,1.04999,0.87688,0.77356,0.8876,0.89287,0.87531,0.2261,0.76402,0.73579,0.0009802,0.0009802,0.0009802
5,1024.96,0.27332,0.90234,0.86392,0.79403,0.92114,0.92545,0.9097,0.20135,0.62426,0.71835,0.0009736,0.0009736,0.0009736
6,1214.26,0.28066,0.90164,0.86704,0.83537,0.92117,0.92909,0.91315,0.19672,0.56545,0.70635,0.000967,0.000967,0.000967
7,1402.08,0.2587,0.80178,0.86635,0.84866,0.89033,0.93364,0.92207,0.17869,0.55422,0.70073,0.0009604,0.0009604,0.0009604
8,1608.46,0.24634,0.76592,0.86444,0.83074,0.94363,0.93113,0.91268,0.18873,0.53903,0.69789,0.0009538,0.0009538,0.0009538
9,1812.44,0.23998,0.75134,0.85165,0.84657,0.92177,0.93014,0.91891,0.17565,0.51218,0.68875,0.0009472,0.0009472,0.0009472
10,2007.13,0.23248,0.72207,0.85095,0.86102,0.93484,0.95527,0.94549,0.16108,0.45866,0.67778,0.0009406,0.0009406,0.0009406
11,2201.21,0.21961,0.6984,0.84691,0.86245,0.933,0.94156,0.93552,0.14369,0.44293,0.67352,0.000934,0.000934,0.000934
12,2391.31,0.21654,0.67984,0.83882,0.83427,0.93474,0.95066,0.9414,0.13879,0.42641,0.67093,0.0009274,0.0009274,0.0009274
13,2580.63,0.21181,0.65669,0.84768,0.85538,0.92399,0.94037,0.9334,0.13458,0.44517,0.67266,0.0009208,0.0009208,0.0009208
14,2781.05,0.21899,0.64382,0.84433,0.88916,0.92598,0.95238,0.94372,0.1398,0.38773,0.68249,0.0009142,0.0009142,0.0009142
15,2974.21,0.19856,0.63156,0.84022,0.85174,0.92198,0.95005,0.94444,0.13761,0.40841,0.67421,0.0009076,0.0009076,0.0009076
16,3167.58,0.19688,0.60083,0.8419,0.88898,0.95393,0.96346,0.95561,0.12686,0.35315,0.66327,0.000901,0.000901,0.000901
17,3359.46,0.19751,0.57083,0.83743,0.82816,0.95549,0.95008,0.9447,0.11722,0.38998,0.65867,0.0008944,0.0008944,0.0008944
18,3550.08,0.19272,0.55722,0.8398,0.90243,0.97,0.97507,0.96887,0.11708,0.29711,0.65706,0.0008878,0.0008878,0.0008878
19,3738.67,0.1862,0.53625,0.83133,0.9061,0.96452,0.97936,0.97308,0.11397,0.28047,0.65605,0.0008812,0.0008812,0.0008812
20,3925.75,0.18193,0.54519,0.83916,0.87618,0.95324,0.96622,0.96081,0.10332,0.32034,0.65242,0.0008746,0.0008746,0.0008746
21,4114.67,0.18041,0.53159,0.83426,0.86884,0.9483,0.958,0.94903,0.11853,0.3605,0.6576,0.000868,0.000868,0.000868
22,4302.44,0.17851,0.50977,0.82825,0.89893,0.92456,0.97877,0.97387,0.10833,0.31267,0.65538,0.0008614,0.0008614,0.0008614
23,4488.72,0.18033,0.51441,0.83937,0.89926,0.96126,0.96623,0.95993,0.10873,0.31214,0.6527,0.0008548,0.0008548,0.0008548
24,4681.31,0.17395,0.51359,0.83662,0.84503,0.95893,0.95655,0.9497,0.10342,0.34036,0.65358,0.0008482,0.0008482,0.0008482
25,4868.23,0.17633,0.50147,0.83175,0.88657,0.943,0.96291,0.95646,0.1074,0.31774,0.65088,0.0008416,0.0008416,0.0008416
26,5053.98,0.17118,0.50143,0.82952,0.89644,0.93928,0.97443,0.96798,0.1071,0.30871,0.65699,0.000835,0.000835,0.000835
27,5242.19,0.16807,0.50582,0.82967,0.90573,0.95485,0.97035,0.96458,0.10829,0.29349,0.65401,0.0008284,0.0008284,0.0008284
28,5425.98,0.16434,0.49462,0.8311,0.89002,0.94503,0.97318,0.96814,0.10072,0.27848,0.65376,0.0008218,0.0008218,0.0008218
29,5610.11,0.16264,0.46675,0.82641,0.89386,0.95431,0.96777,0.96192,0.10096,0.29193,0.65239,0.0008152,0.0008152,0.0008152
30,5795.68,0.1607,0.47893,0.83279,0.88597,0.95543,0.97039,0.96618,0.0949,0.27311,0.64966,0.0008086,0.0008086,0.0008086
31,5980.42,0.15838,0.4636,0.8296,0.91125,0.96034,0.97231,0.9681,0.09423,0.24239,0.65042,0.000802,0.000802,0.000802
32,6167.2,0.1547,0.45658,0.82767,0.87676,0.94336,0.96614,0.95991,0.09977,0.28652,0.65296,0.0007954,0.0007954,0.0007954
33,6353.92,0.15972,0.45678,0.8291,0.9278,0.91826,0.98068,0.97624,0.08994,0.27165,0.65393,0.0007888,0.0007888,0.0007888
34,6540.51,0.15313,0.42716,0.82901,0.91339,0.91813,0.97803,0.97316,0.09875,0.26878,0.65295,0.0007822,0.0007822,0.0007822
35,6725.71,0.14841,0.41067,0.82926,0.89594,0.96584,0.97662,0.97217,0.09319,0.27136,0.64758,0.0007756,0.0007756,0.0007756
36,6913.13,0.15092,0.42927,0.82799,0.88929,0.96285,0.98109,0.97531,0.10497,0.25404,0.65312,0.000769,0.000769,0.000769
37,7098.99,0.15751,0.44724,0.83297,0.8881,0.95337,0.9737,0.96849,0.09691,0.27734,0.65004,0.0007624,0.0007624,0.0007624
38,7284.41,0.14967,0.43427,0.82801,0.90332,0.96884,0.97764,0.97307,0.08631,0.24381,0.64938,0.0007558,0.0007558,0.0007558
39,7469.53,0.14404,0.40223,0.82726,0.88593,0.95652,0.97665,0.97251,0.09101,0.25786,0.64665,0.0007492,0.0007492,0.0007492
40,7658.62,0.14552,0.41864,0.83158,0.89723,0.98116,0.98241,0.97829,0.08549,0.23222,0.64764,0.0007426,0.0007426,0.0007426
41,7844.01,0.14251,0.41995,0.82872,0.9004,0.93997,0.9717,0.966,0.0851,0.28322,0.64791,0.000736,0.000736,0.000736
42,8028.62,0.13564,0.41143,0.8257,0.8935,0.96562,0.97791,0.97185,0.09022,0.25114,0.65479,0.0007294,0.0007294,0.0007294
43,8214.64,0.14129,0.40034,0.81796,0.91069,0.94965,0.97734,0.97246,0.09606,0.25725,0.64961,0.0007228,0.0007228,0.0007228
44,8399.19,0.14644,0.39448,0.82547,0.90519,0.98196,0.98662,0.98275,0.08405,0.21651,0.64788,0.0007162,0.0007162,0.0007162
45,8585.17,0.1403,0.40795,0.82807,0.88799,0.96501,0.97561,0.97118,0.07794,0.24673,0.64495,0.0007096,0.0007096,0.0007096
46,8770.74,0.14261,0.3979,0.82243,0.90006,0.95079,0.97995,0.97593,0.08173,0.24708,0.64786,0.000703,0.000703,0.000703
47,8955.47,0.1395,0.38475,0.82297,0.89935,0.96559,0.97538,0.97157,0.08545,0.25198,0.64849,0.0006964,0.0006964,0.0006964
48,9141.51,0.14281,0.38157,0.82268,0.86658,0.96593,0.96361,0.95941,0.08183,0.2875,0.64511,0.0006898,0.0006898,0.0006898
49,9326.71,0.13414,0.38017,0.82661,0.90014,0.94319,0.96831,0.96332,0.08462,0.26704,0.64805,0.0006832,0.0006832,0.0006832
50,9573.98,0.13918,0.38744,0.82656,0.87003,0.97024,0.96714,0.96303,0.08677,0.25609,0.64803,0.0006766,0.0006766,0.0006766
51,9838.49,0.13859,0.36933,0.82237,0.88383,0.95935,0.97177,0.96713,0.08274,0.26397,0.64806,0.00067,0.00067,0.00067
52,10088.8,0.13409,0.38106,0.82653,0.88269,0.96282,0.96573,0.9603,0.09127,0.26136,0.64776,0.0006634,0.0006634,0.0006634
53,11385.4,0.13254,0.36892,0.82288,0.89091,0.97336,0.97279,0.96881,0.08456,0.26297,0.65087,0.0006568,0.0006568,0.0006568
