epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.6104,2.53667,5.41576,2.45445,0.00322,0.12069,0.00673,0.00214,3.17038,8.15404,3.01513,4e-05,4e-05,0.09604
2,26.6117,2.08496,4.66619,2.03402,0,0,0,0,2.59977,7.1552,2.32901,8.8218e-05,8.8218e-05,0.0910882
3,34.4835,1.7433,4.20709,1.72993,0.20099,0.0977,0.0596,0.03244,2.0423,7.84894,1.96332,0.000134456,0.000134456,0.0861345
4,42.6577,1.52382,3.85464,1.59916,0.49773,0.04598,0.02788,0.02081,1.68913,21.5978,1.73133,0.000178714,0.000178714,0.0811787
5,51.0592,1.26512,3.57829,1.43134,0.35095,0.16092,0.01671,0.00682,2.13015,34.092,2.31351,0.000220992,0.000220992,0.076221
6,59.7221,1.15401,3.37609,1.35668,0.47187,0.11494,0.06778,0.02893,1.94501,13.8245,2.18443,0.00026129,0.00026129,0.0712613
7,68.7241,1.07378,3.27839,1.26358,0.15052,0.17816,0.06369,0.0258,1.6989,5.70305,1.95596,0.000299608,0.000299608,0.0662996
8,77.6715,0.98923,3.02501,1.23673,0.44105,0.14368,0.10135,0.04839,1.50965,6.14693,1.77534,0.000335946,0.000335946,0.0613359
9,85.8717,0.94563,2.88027,1.2371,0.31547,0.2931,0.08507,0.03011,1.4456,11.0111,1.80946,0.000370304,0.000370304,0.0563703
10,94.0387,0.92475,2.89151,1.20831,0.19935,0.28789,0.11141,0.06046,1.77768,34.1908,2.13533,0.000402682,0.000402682,0.0514027
11,102.352,0.87628,2.70674,1.1904,0.55048,0.12644,0.15225,0.08011,1.55208,19.6796,1.94627,0.00043308,0.00043308,0.0464331
12,110.39,0.82615,2.62937,1.13273,0.38471,0.31609,0.21721,0.14914,1.07777,7.277,1.42094,0.000461498,0.000461498,0.0414615
13,118.787,0.76792,2.55391,1.09168,0.43902,0.35552,0.27541,0.18693,1.00491,6.98648,1.34746,0.000487936,0.000487936,0.0364879
14,127.269,0.80698,2.45681,1.11132,0.33405,0.40116,0.24248,0.16372,1.01559,6.18181,1.3073,0.000512394,0.000512394,0.0315124
15,135.755,0.7837,2.3296,1.1195,0.46184,0.33117,0.31114,0.23476,0.8759,4.07811,1.18525,0.000534872,0.000534872,0.0265349
16,143.888,0.77417,2.30361,1.09864,0.5342,0.24864,0.28847,0.2286,0.82669,3.79456,1.13964,0.00055537,0.00055537,0.0215554
17,152.162,0.71432,2.14094,1.0716,0.29938,0.413,0.33767,0.26616,0.75579,4.33866,1.10015,0.000573888,0.000573888,0.0165739
18,160.456,0.69447,2.166,1.03035,0.47028,0.36146,0.34311,0.25174,0.76057,4.20776,1.09999,0.000590426,0.000590426,0.0115904
19,168.654,0.71699,2.0887,1.04413,0.69446,0.33037,0.39837,0.31997,0.70121,3.54467,1.02582,0.000604984,0.000604984,0.00660498
20,176.832,0.68488,2.06335,1.05873,0.6038,0.36541,0.44025,0.37549,0.66715,3.4137,0.99162,0.000617562,0.000617562,0.00161756
21,185.094,0.67904,1.95919,1.06575,0.71607,0.28736,0.43177,0.36646,0.76527,3.48422,1.05353,0.000604,0.000604,0.000604
22,193.532,0.64679,1.89297,1.03796,0.68446,0.3094,0.43383,0.34117,0.91373,3.56967,1.1689,0.0005842,0.0005842,0.0005842
23,202.05,0.65145,1.83726,1.0125,0.70063,0.28914,0.44759,0.37089,0.8151,3.36899,1.10977,0.0005644,0.0005644,0.0005644
24,210.313,0.62572,1.77355,0.99829,0.81908,0.27482,0.43198,0.3769,0.63696,3.46828,1.00214,0.0005446,0.0005446,0.0005446
25,218.362,0.66818,1.75874,1.05455,0.60395,0.37306,0.46988,0.41573,0.61985,3.56769,0.96943,0.0005248,0.0005248,0.0005248
26,227.7,0.63525,1.78083,1.02899,0.28461,0.42946,0.48721,0.42883,0.66962,3.59043,0.99579,0.000505,0.000505,0.000505
27,237.046,0.66951,1.69442,1.00844,0.43901,0.44406,0.50129,0.4265,0.81686,3.4425,1.09633,0.0004852,0.0004852,0.0004852
28,246.077,0.65523,1.701,1.02603,0.28217,0.58343,0.47673,0.41488,0.75682,3.17553,1.04125,0.0004654,0.0004654,0.0004654
29,255.334,0.62175,1.58043,0.99417,0.38808,0.51038,0.50529,0.44252,0.59883,3.08432,0.9497,0.0004456,0.0004456,0.0004456
30,265.378,0.59073,1.55375,0.98314,0.56976,0.41962,0.49895,0.44436,0.57482,2.95726,0.95056,0.0004258,0.0004258,0.0004258
31,275.435,0.61199,1.60223,1.02138,0.43896,0.56,0.46417,0.41975,0.57198,2.80001,0.94044,0.000406,0.000406,0.000406
32,285.195,0.56712,1.57541,0.96256,0.60252,0.52129,0.52836,0.4725,0.57514,2.397,0.92385,0.0003862,0.0003862,0.0003862
